Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,CIBIL_Score,Property_Area,Loan_Type,Loan_Status
Male,Yes,1,Graduate,No,2868,5687,15.0,60.0,1.0,771,Semiurban,Home Loan,Y
Female,Yes,2,Graduate,No,3944,8177,10.0,84.0,1.0,718,Urban,Home Loan,N
Male,No,2,Not Graduate,Yes,2438,0,10.0,360.0,1.0,739,Urban,Education Loan,N
Male,Yes,0,Graduate,No,3900,529,10.0,360.0,1.0,651,Rural,Car Loan,Y
Male,Yes,0,Graduate,No,1500,204,10.0,360.0,1.0,810,Semiurban,Personal Loan,Y
Male,No,0,Not Graduate,No,5433,0,10.0,36.0,0.0,392,Rural,Business Loan,N
Male,Yes,0,Graduate,No,3695,738,11.0,300.0,1.0,686,Semiurban,Car Loan,Y
Female,No,0,Graduate,No,3180,0,15.0,360.0,1.0,738,Rural,Education Loan,Y
Male,,1,Graduate,No,4693,562,10.0,360.0,0.0,537,Semiurban,Education Loan,N
Male,Yes,0,Graduate,Yes,1500,4378,10.0,360.0,0.0,526,Rural,Business Loan,N
Male,Yes,0,Not Graduate,No,15529,583,45.0,360.0,0.0,518,Rural,Personal Loan,N
Female,Yes,0,Not Graduate,No,3744,375,10.0,180.0,0.0,618,Urban,Business Loan,N
Female,No,1,Not Graduate,No,3633,0,12.0,60.0,0.0,636,Rural,Home Loan,N
Male,Yes,0,Graduate,No,2047,679,10.0,84.0,1.0,653,Rural,Personal Loan,N
Male,Yes,1,Graduate,No,4091,1875,20.0,12.0,1.0,732,Urban,Home Loan,N
Male,Yes,0,Not Graduate,,10624,1047,55.0,180.0,1.0,868,Semiurban,Home Loan,Y
Male,Yes,3+,Graduate,No,8309,1929,21.0,36.0,1.0,893,Urban,Business Loan,Y
Male,No,3+,Graduate,No,7318,0,36.0,120.0,,760,Rural,Home Loan,Y
Male,Yes,,Graduate,No,5898,602,11.0,360.0,1.0,816,Urban,Business Loan,Y
Male,No,0,Graduate,,3130,0,14.0,360.0,1.0,673,Urban,Home Loan,N
Male,No,0,Graduate,No,1500,0,10.0,360.0,1.0,699,Semiurban,Personal Loan,N
Male,Yes,0,Not Graduate,No,3495,1342,10.0,120.0,1.0,686,Semiurban,Home Loan,N
Male,No,1,Not Graduate,,3411,0,,60.0,0.0,583,Rural,Car Loan,N
Male,Yes,2,Graduate,No,8384,686,34.0,84.0,1.0,674,Rural,Home Loan,Y
Male,Yes,1,Graduate,No,4996,1196,22.0,480.0,0.0,316,Semiurban,Education Loan,N
Female,Yes,2,Graduate,No,12439,5772,21.0,300.0,1.0,774,Urban,Car Loan,Y
Male,,,Not Graduate,No,9304,0,54.0,60.0,0.0,543,Rural,Education Loan,N
Male,No,0,Graduate,No,2923,0,11.0,360.0,0.0,394,Semiurban,Home Loan,N
Male,Yes,2,Graduate,No,1500,9667,10.0,180.0,0.0,420,Semiurban,Home Loan,Y
